,precision,recall,f1-score,support
no,0.9648390138757914,0.8969317470256731,0.9296469366562824,7985.0
yes,0.4919753086419753,0.7533081285444234,0.5952203136669156,1058.0
accuracy,,,0.880128276014597,9043.0
macro avg,0.7284071612588834,0.8251199377850482,0.7624336251615991,9043.0
weighted avg,0.9095155813713816,0.880128276014597,0.8905201682030311,9043.0
