Model,accuracy,error_rate,precision,recall,f1_score,roc_auc,depth,leaves,nodes
Hoang Baseline,0.8737144752847507,0.12628552471524934,0.46111111111111114,0.4706994328922495,0.46585594013096354,0.6989063852000384,34,2876,5751
Hau Tuned,0.9004755059161783,0.09952449408382169,0.5954106280193237,0.4659735349716446,0.5227995758218452,0.9005402378988011,20,339,677
Kiet Pruned Entropy,0.9044564856795311,0.09554351432046893,0.6036324786324786,0.5340264650283554,0.5667001003009027,0.9114028193221457,19,143,285
Trung Weighted + Tuned,0.880128276014597,0.11987172398540302,0.4919753086419753,0.7533081285444234,0.5952203136669156,0.8945344709420903,20,390,779
