Metric,Baseline,Hau Tuned,Difference
Accuracy,0.8737144752847507,0.9004755059161783,0.02676103063142765
Error Rate,0.12628552471524934,0.09952449408382169,-0.02676103063142765
Precision,0.46111111111111114,0.5954106280193237,0.1342995169082125
Recall,0.4706994328922495,0.4659735349716446,-0.0047258979206049045
F1,0.46585594013096354,0.5227995758218452,0.05694363569088168
ROC-AUC,0.6989063852000384,0.9005402378988011,0.20163385269876266
Tree Depth,34.0,20.0,-14.0
Number of Leaves,2876.0,339.0,-2537.0
