,precision,recall,f1-score,support
no,0.9296747456988572,0.9271133375078272,0.9283922748934036,7985.0
yes,0.46111111111111114,0.4706994328922495,0.46585594013096354,1058.0
accuracy,,,0.8737144752847507,9043.0
macro avg,0.6953929284049842,0.6989063852000383,0.6971241075121836,9043.0
weighted avg,0.8748544067191121,0.8737144752847507,0.8742771093312381,9043.0
