,precision,recall,f1-score,support
no,0.9321526565228236,0.9360050093926111,0.9340748609635693,7985.0
yes,0.5014634146341463,0.48582230623818523,0.49351896303408543,1058.0
accuracy,,,0.8833351763795201,9043.0
macro avg,0.7168080355784849,0.7109136578153982,0.7137969119988273,9043.0
weighted avg,0.8817634916529553,0.8833351763795201,0.8825313311604737,9043.0
