,precision,recall,f1-score,support
no,0.9303851293888956,0.9590482154038823,0.9444992599901332,7985.0
yes,0.5972906403940886,0.45841209829867674,0.5187165775401069,1058.0
accuracy,,,0.9004755059161783,9043.0
macro avg,0.7638378848914922,0.7087301568512795,0.7316079187651201,9043.0
weighted avg,0.8914142160463648,0.9004755059161783,0.8946841457545778,9043.0
