model,metric,point_estimate,ci_lower,ci_upper,confidence_level,bootstrap_replicates
Hoang Baseline,accuracy,0.8737144752847507,0.8680747539533341,0.8802388587858012,0.95,2000
Hoang Baseline,f1_score,0.46585594013096354,0.44298420339508526,0.491621369406805,0.95,2000
Hau Tuned,accuracy,0.9004755059161783,0.8950569501271702,0.9058940617051864,0.95,2000
Hau Tuned,f1_score,0.5227995758218452,0.49515051309651953,0.550556291266434,0.95,2000
Kiet Pruned Entropy,accuracy,0.9044564856795311,0.8988167643481145,0.9097644586973349,0.95,2000
Kiet Pruned Entropy,f1_score,0.5667001003009027,0.5406748384958537,0.5920427275387766,0.95,2000
Trung Weighted + Tuned,accuracy,0.880128276014597,0.8732721441999336,0.8863209112020347,0.95,2000
Trung Weighted + Tuned,f1_score,0.5952203136669156,0.5766306388761654,0.6128116941200226,0.95,2000
