model,feature_set,accuracy,error_rate,precision,recall,f1_score,roc_auc,train_accuracy,train_test_accuracy_gap,depth,leaves,nodes
Frozen Baseline,Post-call (all features),0.8737144752847507,0.12628552471524934,0.46111111111111114,0.4706994328922495,0.46585594013096354,0.6989063852000384,1.0,0.12628552471524934,34,2876,5751
Frozen Baseline,Pre-call (no duration),0.8329094327103838,0.16709056728961624,0.30148992112182293,0.32514177693761814,0.3128694861300591,0.6126648145802681,1.0,0.16709056728961624,47,4769,9537
Hau Tuned,Post-call (all features),0.9004755059161783,0.09952449408382169,0.5954106280193237,0.4659735349716446,0.5227995758218452,0.9005402378988011,0.9171090466710905,0.01663354075491219,20,339,677
Hau Tuned (fixed settings),Pre-call (no duration),0.891850049762247,0.10814995023775298,0.6015228426395939,0.22400756143667297,0.32644628099173556,0.7718192073275388,0.900464499004645,0.008614449242397959,20,397,793
Pre-call Retuned,Pre-call (no duration),0.8894172287957536,0.11058277120424642,0.5562015503875969,0.2712665406427221,0.3646759847522236,0.7387525996877415,0.9048053527980535,0.015388124002299941,33,1000,1999
