,precision,recall,f1-score,support
no,0.9391883557419514,0.9535378835316218,0.9463087248322147,7985.0
yes,0.6036324786324786,0.5340264650283554,0.5667001003009027,1058.0
accuracy,,,0.9044564856795311,9043.0
macro avg,0.7714104171872149,0.7437821742799886,0.7565044125665588,9043.0
weighted avg,0.8999294684278054,0.9044564856795311,0.9018958170854352,9043.0
